date,number,name,rating,n_reviews,price
2021-02-01,73,"Mpow BH129 Bluetooth Receiver for Car, Aux Bluetooth Car Adapter 5.0 for Wired Speakers/Headphones/Home Music Streaming…",4.4,"20,001",$12.48
2021-02-01,74,Insignia NS-32DF310NA19 32-inch Smart HD TV - Fire TV Edition,4.7,"29,360",$139.99
2021-02-01,75,"HeimVision Sunrise Alarm Clock, A80S Smart Wake up Light Work with Alexa, Sleep Aid Digital Alarm Clock with Sunset…",4.4,"9,510",$45.99
2021-02-01,76,Alex Tech 10ft - 1/2 inch Cord Protector Wire Loom Tubing Cable Sleeve Split Sleeving For USB Cable Power Cord Audio…,4.7,"13,605",$9.99
2021-02-01,77,PASOW 50pcs Cable Ties Reusable Fastening Wire Organizer Cord Rope Holder 7 Inch (Black),4.7,"14,237",$7.99
2021-02-01,78,"HP VH240a 23.8-Inch Full HD 1080p IPS LED Monitor with Built-In Speakers and VESA Mounting, Rotating Portrait…",4.7,"19,433",$124.99
2021-02-01,79,"USB Wall Charger, Surge Protector, 5 Outlet Extender with 4 USB Charging Ports ( 1 USB C Outlet, 4.5A Total) 3-Sided…",4.8,"3,131",$19.99
2021-02-01,80,Apple 85W MagSafe 2 Power Adapter (for MacBook Pro with Retina display),4.7,"4,422",$53.99
2021-02-01,81,"Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – Black",4.6,"151,392",$149.99
2021-02-01,82,"Power Strip with USB C, 3 Outlets 4 USB Ports (22.5W/4.5A) Desktop Charging Station, Flat Plug, 5ft Braided Extension…",4.8,"4,594",$17.99
2021-02-01,83,"Ring Spare Parts Kit for Floodlight Cam, Black",4.7,918,$1.99
2021-02-01,84,"GE, White, 6 Outlet Surge Protector, 8 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug, Twist-To-Close Safety…",4.8,"45,304",$10.04
2021-02-01,85,NETGEAR Nighthawk Cable Modem Wi-Fi Router Combo C7000-Compatible with Cable Providers Including Xfinity by Comcast…,4.4,"13,781",$169.99
2021-02-01,86,Pankoo 40X60 Monocular High Power Monocular Scope for Bird Watching Traveling Concert Sports Game with Phone Adapter…,4.3,"3,125",$28.00
2021-02-01,87,"Fire HD 8 Plus tablet, HD display, 32 GB, our best 8"" tablet for portable entertainment, Slate",4.5,"15,583",$109.99
2021-02-01,88,Video Camera Camcorder Digital Camera Recorder kicteck Full HD 1080P 15FPS 24MP 3.0 Inch 270 Degree Rotation LCD 16X…,4.2,"6,628",$63.99
2021-02-01,89,"Ring Spotlight Cam Battery HD Security Camera with Built Two-Way Talk and a Siren Alarm, Black, Works with Alexa",4.6,"18,595",$199.99
2021-02-01,90,Super Smash Bros. Ultimate - Nintendo Switch,4.9,"38,645",Not available
